Lexie's opinion!,,class,label,description
,433,completion.title_iv.high_inc.transf_withdrawn_4yr_by.4yrs,HI_INC_WDRAW_4YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 4 years"
,434,completion.title_iv.depend.transf_completed_4yr_by.8yrs,DEP_COMP_4YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 4-year institution and completed within 8 years
,435,academics.program.certificate_lt_4_yr.precision_production,CIP48CERT4,Award of more than two but less than four academic years in Precision Production.
,436,completion.title_iv.independ.transf_withdrawn_4yr_by.8yrs,IND_WDRAW_4YR_TRANS_YR8_RT,Percent of independent students who transferred to a 4-year institution and withdrew within 8 years
,437,completion.title_iv.first_gen.transf_completed_4yr_by.4yrs,FIRSTGEN_COMP_4YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 4 years
,438,academics.program.certificate_lt_4_yr.education,CIP13CERT4,Award of more than two but less than four academic years in Education.
,439,academics.program_percentage.business_marketing,PCIP52,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services."
,440,student.demographics.race_ethnicity.aian_prior_2009,UGDS_AIANOld,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
,441,academics.program.certificate_lt_4_yr.business_marketing,CIP52CERT4,"Award of more than two but less than four academic years in Business, Management, Marketing, And Related Support Services."
,442,completion.title_iv.first_gen.transf_completed_2yr_by.3yrs,FIRSTGEN_COMP_2YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 3 years
,443,completion.title_iv.high_inc.transf_unknown_2yr_by.4yrs,HI_INC_UNKN_2YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 4 years"
,444,school.ft_faculty_rate,PFTFAC,Proportion of faculty that is full-time
,445,completion.title_iv.mid_inc.unknown_by.8yrs,MD_INC_UNKN_ORIG_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 8 years at original institution"
,446,completion.title_iv.low_inc.completed_by.3yrs,LO_INC_COMP_ORIG_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who completed within 3 years at original institution"
,447,completion.completion_rate_4yr_150_asian,C150_4_ASIAN,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Asian students"
,448,completion.title_iv.transf_unknown_4yr_by.2yrs,UNKN_4YR_TRANS_YR2_RT,Percent who transferred to a 4-year institution and whose status is unknown within 2 years
,449,completion.title_iv.independ.transf_unknown_4yr_by.8yrs,IND_UNKN_4YR_TRANS_YR8_RT,Percent of independent students who transferred to a 4-year institution and whose status is unknown within 8 years
,450,completion.title_iv.no_loan.transf_unknown_2yr_by.2yrs,NOLOAN_UNKN_2YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years
,451,completion.title_iv.no_pell.transf_completed_4yr_by.3yrs,NOPELL_COMP_4YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 3 years
,452,academics.program.assoc.history,CIP54ASSOC,Associate degree in History.
,453,repayment.5_yr_repayment.female_students,FEMALE_RPY_5YR_N,Number of students in the 5-year repayment rate of female students cohort
,454,completion.title_iv.female.still_enrolled_by.3yrs,FEMALE_ENRL_ORIG_YR3_RT,Percent of female students who were still enrolled at original institution within 3 years
,455,completion.title_iv.first_gen.died_by.2yrs,FIRSTGEN_DEATH_YR2_RT,Percent of first-generation students who died within 2 years at original institution
,456,completion.title_iv.not_first_gen.transf_withdrawn_2yr_by.6yrs,NOT1STGEN_WDRAW_2YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 6 years
,457,repayment.3_yr_repayment.high_income,HI_INC_RPY_3YR_N,"Number of students in the 3-year repayment rate of high-income (above $75,000 in nominal family income) students cohort"
,458,admissions.sat_scores.midpoint.math,SATMTMID,Midpoint of SAT scores at the institution (math)
,459,completion.title_iv.first_gen.transf_still_enrolled_4yr_by.8yrs,FIRSTGEN_ENRL_4YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 8 years
,460,academics.program.assoc.architecture,CIP04ASSOC,Associate degree in Architecture And Related Services.
,461,academics.program_percentage.education,PCIP13,Percentage of degrees awarded in Education.
,462,student.share_firstgeneration_parents.middleschool,PAR_ED_PCT_MS,Percent of students whose parents' highest educational level is middle school
,463,completion.title_iv.low_inc.transf_still_enrolled_2yr_by.4yrs,LO_INC_ENRL_2YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 4 years"
,464,completion.title_iv.not_first_gen.unknown_by.8yrs,NOT1STGEN_UNKN_ORIG_YR8_RT,Percent of not-first-generation students with status unknown within 8 years at original institution
,465,completion.title_iv.high_inc.completed_by.4yrs,HI_INC_COMP_ORIG_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who completed within 4 years at original institution"
,466,academics.program.certificate_lt_1_yr.health,CIP51CERT1,Certificate of less than one academic year in Health Professions And Related Programs.
,467,completion.title_iv.mid_inc.completed_by.4yrs,MD_INC_COMP_ORIG_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 4 years at original institution"
,468,completion.title_iv.no_pell.transf_completed_4yr_by.2yrs,NOPELL_COMP_4YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 2 years
,469,completion.title_iv.no_loan.died_by.4yrs,NOLOAN_DEATH_YR4_RT,Percent of students who never received a federal loan at the institution and who died within 4 years at original institution
,470,academics.program.bachelors.social_science,CIP45BACHL,Bachelor's degree in Social Sciences.
,471,completion.title_iv.first_gen.completed_by.3yrs,FIRSTGEN_COMP_ORIG_YR3_RT,Percent of first-generation students who completed within 3 years at original institution
,472,completion.title_iv.pell_recip.still_enrolled_by.2yrs,PELL_ENRL_ORIG_YR2_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 2 years 
,473,earnings.6_yrs_after_entry.mean_earnings.dependent_students,mn_earn_wne_indep0_p6,Mean earnings of dependent students working and not enrolled 6 years after entry
,474,academics.program.certificate_lt_4_yr.mechanic_repair_technology,CIP47CERT4,Award of more than two but less than four academic years in Mechanic And Repair Technologies/Technicians.
,475,academics.program.certificate_lt_1_yr.mechanic_repair_technology,CIP47CERT1,Certificate of less than one academic year in Mechanic And Repair Technologies/Technicians.
,476,academics.program_percentage.military,PCIP29,Percentage of degrees awarded in Military Technologies And Applied Sciences.
,477,completion.title_iv.mid_inc.transf_still_enrolled_2yr_by.4yrs,MD_INC_ENRL_2YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 4 years"
,478,repayment.7_yr_repayment.income.greater_than_75000,HI_INC_RPY_7YR_RT,"Seven-year repayment rate by family income ($75,000+)"
,479,completion.title_iv.low_inc.transf_withdrawn_4yr_by.3yrs,LO_INC_WDRAW_4YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years"
,480,school.region_id,region,Region (IPEDS)
,481,academics.program.bachelors.security_law_enforcement,CIP43BACHL,"Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
,482,completion.title_iv.transf_withdrawn_4yr_by.3yrs,WDRAW_4YR_TRANS_YR3_RT,Percent who transferred to a 4-year institution and withdrew within 3 years
,483,completion.title_iv.female.transf_completed_4yr_by.2yrs,FEMALE_COMP_4YR_TRANS_YR2_RT,Percent of female students who transferred to a 4-year institution and completed within 2 years
,484,completion.title_iv.male.withdrawn_by.6yrs,MALE_WDRAW_ORIG_YR6_RT,Percent of male students withdrawn from original institution within 6 years
,485,repayment.7_yr_repayment.independent_students,IND_RPY_7YR_N,Number of students in the 7-year repayment rate of independent students cohort
,486,completion.title_iv.no_pell.transf_completed_2yr_by.3yrs,NOPELL_COMP_2YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 3 years
,487,student.demographics.share_black.home_ZIP,pct_black,"Percent of the population from students' zip codes that is Black, via Census data"
,488,repayment.1_yr_repayment.noncompleters,NONCOM_RPY_1YR_N,Number of students in the 1-year repayment rate of non-completers cohort
,489,completion.title_iv.no_pell.still_enrolled_by.4yrs,NOPELL_ENRL_ORIG_YR4_RT,Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 4 years
,490,cost.avg_net_price.other_academic_year,NPT4_OTHER,"Average net price for the largest program at the institution for schools on ""other"" academic year calendars"
,491,student.fafsa_sent.2_college_allyrs,APPL_SCH_PCT_GE2,Number of applications is greater than or equal to 2
,492,completion.title_iv.first_gen.completed_by.6yrs,FIRSTGEN_COMP_ORIG_YR6_RT,Percent of first-generation students who completed within 6 years at original institution
,493,completion.title_iv.first_gen.transf_unknown_2yr_by.3yrs,FIRSTGEN_UNKN_2YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 3 years
,494,student.demographics.race_ethnicity.black_non_hispanic,UGDS_BLACKNH,Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic
,495,completion.title_iv.no_pell.transf_still_enrolled_4yr_by.6yrs,NOPELL_ENRL_4YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 6 years
,496,completion.title_iv.not_first_gen.transf_still_enrolled_2yr_by.3yrs,NOT1STGEN_ENRL_2YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 3 years
,497,completion.title_iv.first_gen.transf_completed_4yr_by.2yrs,FIRSTGEN_COMP_4YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 2 years
,498,academics.program.certificate_lt_4_yr.theology_religious_vocation,CIP39CERT4,Award of more than two but less than four academic years in Theology And Religious Vocations.
,499,admissions.sat_scores.25th_percentile.writing,SATWR25,25th percentile of SAT scores at the institution (writing)
,500,school.school_url,INSTURL,URL for institution's homepage
,501,completion.8_yr_completion.middle_income,MD_INC_YR8_N,"Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 8-year completion cohort"
,502,completion.title_iv.depend.transf_unknown_2yr_by.4yrs,DEP_UNKN_2YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 4 years
,503,student.fafsa_sent.overall,fsend_count,Number of students who sent their FAFSA reports to at least one college
,504,completion.title_iv.independ.transf_unknown_2yr_by.2yrs,IND_UNKN_2YR_TRANS_YR2_RT,Percent of independent students who transferred to a 2-year institution and whose status is unknown within 2 years
,505,completion.title_iv.mid_inc.transf_completed_4yr_by.3yrs,MD_INC_COMP_4YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years"
,506,completion.title_iv.still_enrolled_by.8yrs,ENRL_ORIG_YR8_RT,Percent still enrolled at original institution within 8 years
,507,completion.3_yr_completion.dependent_students,DEP_YR3_N,Number of dependent students in overall 3-year completion cohort
,508,completion.title_iv.no_loan.transf_still_enrolled_4yr_by.6yrs,NOLOAN_ENRL_4YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 6 years
,509,completion.title_iv.pell_recip.died_by.8yrs,PELL_DEATH_YR8_RT,Percent of students who received a Pell Grant at the institution and who died within 8 years at original institution
,510,completion.title_iv.low_inc.unknown_by.2yrs,LO_INC_UNKN_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 2 years at original institution"
,511,academics.program.certificate_lt_4_yr.parks_recreation_fitness,CIP31CERT4,"Award of more than two but less than four academic years in Parks, Recreation, Leisure, And Fitness Studies."
,512,completion.title_iv.first_gen.still_enrolled_by.8yrs,FIRSTGEN_ENRL_ORIG_YR8_RT,Percent of first-generation students who were still enrolled at original institution within 8 years
,513,completion.title_iv.depend.transf_still_enrolled_2yr_by.3yrs,DEP_ENRL_2YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 2-year institution and were still enrolled within 3 years
,514,completion.4_yr_completion.high_income,HI_INC_YR4_N,"Number of high-income (above $75,000 in nominal family income) students in overall 4-year completion cohort"
,515,completion.title_iv.male.transf_unknown_2yr_by.4yrs,MALE_UNKN_2YR_TRANS_YR4_RT,Percent of male students who transferred to a 2-year institution and whose status is unknown within 4 years
,516,completion.title_iv.mid_inc.transf_withdrawn_2yr_by.8yrs,MD_INC_WDRAW_2YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 8 years"
,517,completion.title_iv.no_pell.transf_withdrawn_2yr_by.3yrs,NOPELL_WDRAW_2YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 3 years
,518,completion.title_iv.pell_recip.transf_withdrawn_4yr_by.8yrs,PELL_WDRAW_4YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 8 years
,519,completion.title_iv.first_gen.transf_unknown_2yr_by.2yrs,FIRSTGEN_UNKN_2YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 2 years
,520,completion.title_iv.female.transf_unknown_4yr_by.6yrs,FEMALE_UNKN_4YR_TRANS_YR6_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 6 years
,521,completion.title_iv.transf_withdrawn_4yr_by.4yrs,WDRAW_4YR_TRANS_YR4_RT,Percent who transferred to a 4-year institution and withdrew within 4 years
,522,completion.title_iv.no_loan.transf_still_enrolled_4yr_by.2yrs,NOLOAN_ENRL_4YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 2 years 
,523,cost.title_iv.program_year,NUM4_PROG,Number of Title IV students (program-year institutions)
,524,aid.median_debt.income.30001_75000,MD_INC_DEBT_MDN,"The median debt for students with family income between $30,001-$75,000"
,525,completion.title_iv.female.transf_still_enrolled_4yr_by.3yrs,FEMALE_ENRL_4YR_TRANS_YR3_RT,Percent of female students who transferred to a 4-year institution and were still enrolled within 3 years
,526,completion.title_iv.not_first_gen.withdrawn_by.3yrs,NOT1STGEN_WDRAW_ORIG_YR3_RT,Percent of not-first-generation students withdrawn from original institution within 3 years
,527,completion.title_iv.mid_inc.transf_unknown_4yr_by.2yrs,MD_INC_UNKN_4YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years"
,528,completion.title_iv.transf_completed_2yr_by.6yrs,COMP_2YR_TRANS_YR6_RT,Percent who transferred to a 2-year institution and completed within 6 years
,529,completion.title_iv.independ.transf_completed_4yr_by.3yrs,IND_COMP_4YR_TRANS_YR3_RT,Percent of independent students who transferred to a 4-year institution and completed within 3 years
,530,completion.title_iv.no_pell.transf_still_enrolled_4yr_by.3yrs,NOPELL_ENRL_4YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 3 years
,531,completion.title_iv.not_first_gen.transf_completed_2yr_by.3yrs,NOT1STGEN_COMP_2YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 2-year institution and completed within 3 years
,532,completion.8_yr_completion.independent_students,IND_YR8_N,Number of independent students in overall 8-year completion cohort
,533,completion.title_iv.transf_completed_4yr_by.6yrs,COMP_4YR_TRANS_YR6_RT,Percent who transferred to a 4-year institution and completed within 6 years
,534,completion.title_iv.pell_recip.completed_by.4yrs,PELL_COMP_ORIG_YR4_RT,Percent of students who received a Pell Grant at the institution and who completed in 4 years at original institution
,535,completion.title_iv.independ.still_enrolled_by.8yrs,IND_ENRL_ORIG_YR8_RT,Percent of independent students who were still enrolled at original institution within 8 years
,536,completion.title_iv.female.completed_by.4yrs,FEMALE_COMP_ORIG_YR4_RT,Percent of female students who completed within 4 years at original institution
,537,completion.title_iv.mid_inc.withdrawn_by.3yrs,MD_INC_WDRAW_ORIG_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 3 years"
,538,completion.title_iv.loan_recip.transf_unknown_4yr_by.3yrs,LOAN_UNKN_4YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years
,539,completion.title_iv.no_loan.transf_withdrawn_4yr_by.3yrs,NOLOAN_WDRAW_4YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 3 years
,540,completion.title_iv.mid_inc.completed_by.3yrs,MD_INC_COMP_ORIG_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 3 years at original institution"
,541,completion.2_yr_completion.loan_students,LOAN_YR2_N,Number of loan students in overall 2-year completion cohort
,542,admissions.act_scores.25th_percentile.cumulative,ACTCM25,25th percentile of the ACT cumulative score
,543,repayment.1_yr_repayment.income.30000_75000,MD_INC_RPY_1YR_RT,"One-year repayment rate by family income ($30,000-75,000)"
,544,completion.8_yr_completion.dependent_students,DEP_YR8_N,Number of dependent students in overall 8-year completion cohort
,545,completion.title_iv.no_loan.transf_still_enrolled_4yr_by.8yrs,NOLOAN_ENRL_4YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 8 years
,546,completion.title_iv.loan_recip.transf_still_enrolled_4yr_by.3yrs,LOAN_ENRL_4YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 3 years
,547,academics.program.certificate_lt_1_yr.business_marketing,CIP52CERT1,"Certificate of less than one academic year in Business, Management, Marketing, And Related Support Services."
,548,school.city,CITY,City
,549,student.demographics.married,married,Share of married students
,550,aid.median_debt.completers.monthly_payments,GRAD_DEBT_MDN10YR,Median loan debt of completers in monthly payments (10-year amortization plan)
,551,completion.title_iv.male.died_by.2yrs,MALE_DEATH_YR2_RT,Percent of male students who died within 2 years at original institution
,552,completion.title_iv.no_loan.transf_withdrawn_2yr_by.6yrs,NOLOAN_WDRAW_2YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 6 years
,553,cost.title_iv.private.by_income_level.30001-48000,NUM42_PRIV,"Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
,554,completion.title_iv.low_inc.transf_unknown_4yr_by.6yrs,LO_INC_UNKN_4YR_TRANS_YR6_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 6 years"
,555,completion.title_iv.no_loan.completed_by.6yrs,NOLOAN_COMP_ORIG_YR6_RT,Percent of students who never received a federal loan at the institution and who completed in 6 years at original institution
,556,student.fafsa_sent.4_college_allyrs,APPL_SCH_PCT_GE4,Number of applications is greater than or equal to 4
,557,completion.completion_rate_l4yr_150_hispanic_pre2010,C150_L4_HISPOld,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Hispanic students"
,558,academics.program.certificate_lt_4_yr.communications_technology,CIP10CERT4,Award of more than two but less than four academic years in Communications Technologies/Technicians And Support Services.
,559,academics.program.bachelors.legal,CIP22BACHL,Bachelor's degree in Legal Professions And Studies.
,560,completion.title_iv.depend.transf_unknown_2yr_by.2yrs,DEP_UNKN_2YR_TRANS_YR2_RT,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 2 years
,561,completion.title_iv.pell_recip.transf_still_enrolled_4yr_by.4yrs,PELL_ENRL_4YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 4 years
,562,completion.title_iv.mid_inc.still_enrolled_by.3yrs,MD_INC_ENRL_ORIG_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 3 years"
,563,student.demographics.share_white.home_ZIP,pct_white,"Percent of the population from students' zip codes that is White, via Census data"
,564,completion.8_yr_completion.low_income,LO_INC_YR8_N,"Number of low-income (less than $30,000 in nominal family income) students in overall 8-year completion cohort"
,565,student.fafsa_sent.5_or_more_colleges,fsend_5,Share of students who submitted FAFSAs to at least five colleges
,566,completion.6_yr_completion.middle_income,MD_INC_YR6_N,"Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 6-year completion cohort"
,567,completion.title_iv.not_first_gen.transf_still_enrolled_4yr_by.4yrs,NOT1STGEN_ENRL_4YR_TRANS_YR4_RT,Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 4 years
,568,earnings.10_yrs_after_entry.working_not_enrolled.mean_earnings,mn_earn_wne_p10,Mean earnings of students working and not enrolled 10 years after entry
,569,completion.title_iv.male.withdrawn_by.4yrs,MALE_WDRAW_ORIG_YR4_RT,Percent of male students withdrawn from original institution within 4 years
,570,completion.title_iv.female.transf_still_enrolled_2yr_by.3yrs,FEMALE_ENRL_2YR_TRANS_YR3_RT,Percent of female students who transferred to a 2-year institution and were still enrolled within 3 years
,571,academics.program.bachelors.philosophy_religious,CIP38BACHL,Bachelor's degree in Philosophy And Religious Studies.
,572,academics.program.certificate_lt_4_yr.science_technology,CIP41CERT4,Award of more than two but less than four academic years in Science Technologies/Technicians.
,573,earnings.10_yrs_after_entry.working_not_enrolled.income.lowest_tercile,count_wne_inc1_p10,Number of students working and not enrolled 10 years after entry in the lowest income tercile
,574,completion.title_iv.no_loan.transf_completed_4yr_by.3yrs,NOLOAN_COMP_4YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 3 years
,575,academics.program.certificate_lt_2_yr.humanities,CIP24CERT2,"Certificate of at least one but less than two academic years in Liberal Arts And Sciences, General Studies And Humanities."
,576,repayment.5_yr_repayment.pell_grant,PELL_RPY_5YR_N,Number of students in the 5-year repayment rate of Pell students cohort
,577,completion.title_iv.high_inc.withdrawn_by.2yrs,HI_INC_WDRAW_ORIG_YR2_RT,"Percent of high-income (above $75,000 in nominal family income) students withdrawn from original institution within 2 years "
,578,completion.title_iv.depend.died_by.4yrs,DEP_DEATH_YR4_RT,Percent of dependent students who died within 4 years at original institution
,579,completion.completion_rate_l4yr_150_black_pre2010,C150_L4_BLACKNH,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for black non-Hispanic students"
,580,completion.title_iv.not_first_gen.transf_unknown_2yr_by.4yrs,NOT1STGEN_UNKN_2YR_TRANS_YR4_RT,Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 4 years
,581,school.degree_urbanization,locale2,Degree of urbanization of institution
,582,completion.title_iv.pell_recip.transf_still_enrolled_2yr_by.6yrs,PELL_ENRL_2YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 6 years
,583,aid.median_debt.number.non_first_generation_students,NOTFIRSTGEN_DEBT_N,The number of students in the median debt not-first-generation students cohort
,584,completion.title_iv.independ.unknown_by.4yrs,IND_UNKN_ORIG_YR4_RT,Percent of independent students with status unknown within 4 years at original institution
,585,academics.program_percentage.language,PCIP16,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics."
,586,completion.title_iv.no_loan.transf_withdrawn_2yr_by.2yrs,NOLOAN_WDRAW_2YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 2 years 
,587,completion.8_yr_completion.no_pell_grant,NOPELL_YR8_N,Number of no-Pell students in overall 8-year completion cohort
,588,repayment.3_yr_repayment.male_students,MALE_RPY_3YR_N,Number of students in the 3-year repayment rate of male students cohort
,589,completion.title_iv.independ.withdrawn_by.8yrs,IND_WDRAW_ORIG_YR8_RT,Percent of independent students withdrawn from original institution within 8 years
,590,earnings.6_yrs_after_entry.working_not_enrolled.earnings_percentile.75,pct75_earn_wne_p6,75th percentile of earnings of students working and not enrolled 6 years after entry
,591,completion.title_iv.loan_recip.transf_still_enrolled_4yr_by.8yrs,LOAN_ENRL_4YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 8 years
,592,academics.program.bachelors.psychology,CIP42BACHL,Bachelor's degree in Psychology.
,593,school.faculty_salary,AVGFACSAL,Average faculty salary
,594,completion.separation_date.number,SEPAR_DT_N,Number of students in the cohort for date students separated from the school
,595,completion.title_iv.depend.transf_unknown_2yr_by.6yrs,DEP_UNKN_2YR_TRANS_YR6_RT,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 6 years
,596,completion.title_iv.mid_inc.transf_completed_4yr_by.2yrs,MD_INC_COMP_4YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years"
,597,completion.title_iv.female.transf_withdrawn_2yr_by.4yrs,FEMALE_WDRAW_2YR_TRANS_YR4_RT,Percent of female students who transferred to a 2-year institution and withdrew within 4 years
,598,completion.title_iv.loan_recip.transf_still_enrolled_4yr_by.2yrs,LOAN_ENRL_4YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 2 years 
,599,completion.title_iv.pell_recip.withdrawn_by.8yrs,PELL_WDRAW_ORIG_YR8_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 8 years
,600,completion.title_iv.male.transf_withdrawn_2yr_by.4yrs,MALE_WDRAW_2YR_TRANS_YR4_RT,Percent of male students who transferred to a 2-year institution and withdrew within 4 years
,601,aid.median_debt.number.independent_students,IND_DEBT_N,The number of students in the median debt independent students cohort
,602,completion.title_iv.independ.withdrawn_by.3yrs,IND_WDRAW_ORIG_YR3_RT,Percent of independent students withdrawn from original institution within 3 years
,603,completion.title_iv.independ.completed_by.8yrs,IND_COMP_ORIG_YR8_RT,Percent of independent students who completed within 8 years at original institution
,604,completion.title_iv.not_first_gen.completed_by.4yrs,NOT1STGEN_COMP_ORIG_YR4_RT,Percent of not-first-generation students who completed within 4 years at original institution
,605,completion.title_iv.low_inc.transf_still_enrolled_2yr_by.3yrs,LO_INC_ENRL_2YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years"
,606,completion.3_yr_completion.independent_students,IND_YR3_N,Number of independent students in overall 3-year completion cohort
,607,academics.program.certificate_lt_1_yr.parks_recreation_fitness,CIP31CERT1,"Certificate of less than one academic year in Parks, Recreation, Leisure, And Fitness Studies."
,608,school.carnegie_undergrad,CCUGPROF,Carnegie Classification -- undergraduate profile
,609,completion.title_iv.not_first_gen.died_by.3yrs,NOT1STGEN_DEATH_YR3_RT,Percent of not-first-generation students who died within 3 years at original institution
,610,academics.program.certificate_lt_1_yr.agriculture,CIP01CERT1,"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences."
,611,completion.title_iv.no_loan.unknown_by.2yrs,NOLOAN_UNKN_ORIG_YR2_RT,Percent of students who never received a federal loan at the institution and with status unknown within 2 years at original institution
,612,cost.net_price.private.by_income_level.75001-110000,NPT44_PRIV,"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
,613,completion.title_iv.pell_recip.completed_by.3yrs,PELL_COMP_ORIG_YR3_RT,Percent of students who received a Pell Grant at the institution and who completed in 3 years at original institution
,614,completion.title_iv.not_first_gen.transf_still_enrolled_4yr_by.2yrs,NOT1STGEN_ENRL_4YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 2 years 
